Species,Common_name,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3
Thymallus thymallus,European grayling,0,0,120,1415,0,439,0,0,3711,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
Ciliata mustela,Fivebeard rockling,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11355,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,0,0,0,14,0,0,0,0,10,0,0,0,0,3716,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5457,0,0,0,0,0,0,2,0,3115,0,0,0,0
Sprattus sprattus,European sprat,0,0,0,0,0,0,0,0,0,62,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,11125,7017,0,1109,0,0,0,0,0,25,0,2942,0,0,0,0,0,0,0,0,3749,0,0,0,14,17,10593,0,6,0,0,0,0,0,19,11,0,2239,0,0,2725,0,21,56,8,16,0,0,0,9,0,0,13481,0,0,0,0,15,0,0,0,28352,24,26802,30,0,0,11917,0,0,31,2
Carassius carassius,Crucian carp,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelon labrosus,Thicklip grey mullet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blicca bjoerkna,White bream,0,0,190,149,0,0,0,0,0,0,3580,0,0,0,1425,1800,2465,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,5743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Sardina pilchardus,European pilchard,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,Atlantic cod,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,0,0,0,0,0,4237,0,0,0,1847,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparus aurata,Gilt-head bream,0,0,260,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,Atlantic mackerel,0,0,0,20,14,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549,0,0,0,0,0,0,0,0,0,21474,0,133,0,0,0,0,0,0,23526,19315,3369,0,2130,571,0,0,1442,21,0,0
